383 886
777 2 793
335 1 492
649 2 362
27 1 59
763 1 540
426 1 736
211 1 567
429 1 530
862 2 67
135 2 802
22 1 69
167 2 456
11 1 229
373 2 919
784 2 198
324 2 370
413 1 91
980 1 873
862 1 996
281 2 925
84 2 336
505 1 729
313 2 124
895 1 545
814 2 434
364 2 750
87 1 276
178 1 584
403 2 754
399 1 60
676 1 739
12 1 586
94 2 795
570 1 378
467 2 97
902 2 492
652 1 301
280 1 441
865 2 444
619 1 729
31 2 97
771 2 675
709 2 567
856 2 353
586 2 306
683 2 624
528 2 732
829 2 19
270 1 708
715 1 149
796 2 618
245 1 451
921 2 379
488 1 228
841 1 193
500 1 764
124 1 987
856 2 491
227 2 859
936 1 551
437 1 275
407 1 121
858 2 29
237 2 793
818 1 143
11 1 529
776 1 443
763 2 538
606 1 904
818 1 688
369 2 917
996 1 743
470 2 490
499 1 725
644 1 505
139 1 786
669 1 542
464 2 507
355 1 348
611 1 828
299 2 746
568 1 422
311 1 605
801 2 730
878 2 320
736 1 626
522 2 708
416 1 258
924 2 62
624 1 36
452 2 379
550 1 71
973 2 881
930 2 894
660 2 199
981 2 996
959 2 813
668 1 95
926 1 84
340 1 684
376 1 936
107 2 756
179 1 887
412 1 172
659 2 336
210 1 587
206 2 713
372 2 255
819 2 721
904 2 811
940 2 705
228 2 150
984 1 920
224 1 269
396 2 630
84 1 972
672 1 625
385 1 299
640 1 898
713 1 190
524 1 209
581 2 336
732 2 994
4 2 769
273 1 850
255 1 142
579 1 993
205 2 567
504 2 961
754 1 259
944 1 202
506 1 21
842 1 528
189 1 908
958 1 36
808 2 248
303 2 133
648 1 754
567 1 368
529 1 46
788 2 249
990 2 33
363 2 253
892 1 125
152 1 975
188 2 729
436 1 414
921 1 304
28 2 50
748 1 902
794 2 699
43 2 2
428 2 500
681 2 538
159 2 535
134 2 692
215 2 504
629 2 964
285 2 343
335 2 900
238 2 949
289 2 988
292 2 743
144 2 390
682 1 541
569 1 232
261 1 360
117 2 761
81 2 190
425 1 367
677 1 690
626 1 57
614 1 205
358 1 386
100 1 726
994 1 552
578 2 946
290 2 970
51 1 631
593 2 627
312 1 214
355 1 90
412 2 610
969 2 274
355 2 620
433 2 888
338 1 770
284 1 417
606 1 849
237 2 59
217 1 945
783 2 458
873 2 289
483 2 478
757 1 471
729 1 459
618 1 25
388 1 233
157 2 493
358 1 699
417 2 569
363 1 794
173 2 431
462 1 390
292 2 57
115 2 157
574 2 947
951 2 21
537 1 54
30 1 325
81 1 516
2 2 139
796 1 338
580 1 21
970 1 812
379 2 685
536 1 176
483 2 759
857 1 499
911 2 950
236 1 818
105 2 49
244 2 805
934 2 375
955 1 589
768 2 918
805 1 822
982 2 30
93 1 126
593 1 253
543 1 814
713 2 377
762 2 88
919 1 732
294 2 346
235 2 691
153 2 573
328 2 291
710 1 217
836 2 55
90 1 130
904 2 661
633 2 789
73 1 851
805 1 868
503 2 6
195 2 949
120 2 226
763 2 596
981 2 560
36 2 770
518 2 342
532 1 379
321 1 984
172 2 234
40 2 72
398 1 63
347 1 30
573 1 59
522 2 924
82 2 232
204 1 443
898 1 640
278 2 262
262 2 41
848 2 324
272 1 154
335 2 457
365 2 171
776 2 218
701 2 653
933 2 959
728 1 797
720 1 308
334 1 991
376 1 715
52 2 189
559 1 10
16 1 109
539 1 378
109 2 81
114 1 989
426 2 147
223 2 231
532 1 281
875 1 179
590 1 350
131 2 857
494 2 81
603 1 433
982 2 487
415 1 825
404 1 892
551 2 32
134 2 506
415 2 708
595 2 962
297 2 776
154 2 309
587 1 382
21 1 563
860 1 211
685 1 285
930 1 583
314 1 116
820 1 525
528 2 525
490 1 360
618 2 337
928 1 621
310 2 888
225 2 570
437 2 8
722 2 350
657 2 827
126 2 71
651 2 910
528 2 398
888 1 393
577 1 976
199 1 931
87 2 99
657 1 952
17 2 735
368 1 184
195 1 805
266 1 954
528 1 593
278 2 555
672 1 445
0 2 997
283 1 127
382 2 693
334 2 334
421 2 985
957 1 761
762 1 541
716 1 850
662 1 399
217 1 173
15 1 851
364 1 263
491 1 37
537 2 828
871 1 987
856 1 341
970 1 665
511 2 517
361 2 351
112 1 506
638 2 364
489 1 154
104 2 679
141 1 538
969 1 170
956 1 760
649 1 465
314 1 886
183 2 969
535 1 621
393 1 289
109 2 673
264 2 548
295 2 313
833 1 949
355 2 793
468 1 960
933 2 286
171 1 677
140 2 181
761 1 323
50 1 954
75 1 42
624 2 919
289 1 469
238 2 976
383 2 133
343 1 956
981 2 666
11 2 912
192 2 902
868 2 2
174 2 718
